lokasi,lokasi_id,stasiun,stasiun_id,species,coverage,algae,epiphyte,turbidity
biak,1,Yenusi,1,3,59.38,1.25,1.24,Jernih
biak,1,Saba,2,3,67.5,8.55,1.68,Cukup Jernih
biak,1,Kakur,3,5,73.79,9.98,1.03,Jernih
biak,1,Barari,4,4,80.08,17.24,0.36,Jernih
biak,1,P. Owi selatan,5,5,35.65,6.45,1.11,Jernih
biak,1,P. Owi utara,6,4,70.4,2.59,0.55,Jernih
biak,1,P. Auki,7,4,80.86,12.52,2.41,Jernih
biak,1,P. Pai,8,4,55.3,0.85,2.45,Agak keruh
ternate,2,Tafraka,1,7,56.07,0.39,1.82,jernih
ternate,2,Kastela,2,7,41.67,22.48,1.71,jernih
ternate,2,Akibui,3,6,55.21,31.76,2.14,jernih
ternate,2,Pasimanyou,4,7,35.6,9.85,2.18,agal keruh
ternate,2,Rum Balibunga,5,6,40.63,0.75,1.29,jernih
ternate,2,Dowora,6,6,33.26,14.14,2.57,jernih
ternate,2,Ake Jailolo,7,7,28.13,7.44,1.67,agak keruh
ternate,2,Sidangoli Gam,8,5,32.36,13.42,1.93,jernih
ternate,2,Zikoisa,9,2,18.49,1.92,1.6,agak keruh
bintan,3,Malang rapat,1,8,28.98,7.58,0.79,jernih
bintan,3,teluk bakau,2,7,39.66,9.31,0.48,jernih
bintan,3,beralas pasir,3,6,23.64,4.09,1.09,jernih
bintan,3,mapur barat,4,2,NA,10,0.77,agak keruh
bintan,3,mapur selatan,5,5,25.76,5.76,0.97,jernih
bintan,3,mapur timur,6,6,29.52,4.81,0.92,jernih
bintan,3,mangkil,7,5,21.97,1.36,0.36,jernih
bintan,3,numbing,8,3,18.1,11.03,0.72,jernih
wakatobi,4,Sombano,1,4,31.06,7.23,1.85,jernih
wakatobi,4,P. Tomia,2,7,46.02,15.9,2.07,jernih
wakatobi,4,P. Tomia,3,6,73.86,10.55,1.32,agak keruh
wakatobi,4,Karang Kapota,4,5,46.59,3.58,1.79,jernih
wakatobi,4,Karang Kapota,5,3,75,3.64,0.39,jernih
wakatobi,4,P. Kapota,6,4,35.16,NA,2.03,jernih
wakatobi,4,Matahora,7,9,73.3,29.05,1.61,jernih
wakatobi,4,Desa Darawa,8,5,59.85,24.24,2.33,jernih
wakatobi,4,P. Hoga,9,4,42.61,4.36,2.73,jernih
